,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Fanatec+Global+Mazda+MX-5+Cup,3124,tsukuba+circuit,1#Tsukuba_Circuit#2000_Full,324,267,1,1,2000+Full,9,3124#Fanatec_Global_Mazda_MX-5_Cup
1,Fanatec+Global+Mazda+MX-5+Cup,3124,okayama+international+circuit,2#Okayama_International_Circuit#Full_Course,166,109,0,2,Full+Course,9,3124#Fanatec_Global_Mazda_MX-5_Cup
2,Fanatec+Global+Mazda+MX-5+Cup,3124,lime+rock+park,3#Lime_Rock_Park#Grand_Prix,353,304,1,3,Grand+Prix,0,3124#Fanatec_Global_Mazda_MX-5_Cup
3,Fanatec+Global+Mazda+MX-5+Cup,3124,summit+point+raceway,4#Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,4,Summit+Point+Raceway,0,3124#Fanatec_Global_Mazda_MX-5_Cup
4,Fanatec+Global+Mazda+MX-5+Cup,3124,oulton+park+circuit,5#Oulton_Park_Circuit#International,180,117,0,5,International,0,3124#Fanatec_Global_Mazda_MX-5_Cup
5,Fanatec+Global+Mazda+MX-5+Cup,3124,charlotte+motor+speedway,6#Charlotte_Motor_Speedway#Roval,350,268,0,6,Roval,9,3124#Fanatec_Global_Mazda_MX-5_Cup
6,Fanatec+Global+Mazda+MX-5+Cup,3124,oran+park+raceway,7#Oran_Park_Raceway#Grand_Prix,202,126,1,7,Grand+Prix,1,3124#Fanatec_Global_Mazda_MX-5_Cup
7,Fanatec+Global+Mazda+MX-5+Cup,3124,okayama+international+circuit,8#Okayama_International_Circuit#Short,167,109,0,8,Short,0,3124#Fanatec_Global_Mazda_MX-5_Cup
8,Fanatec+Global+Mazda+MX-5+Cup,3124,summit+point+raceway,9#Summit_Point_Raceway#Jefferson_Circuit,8,13,2,9,Jefferson+Circuit,4,3124#Fanatec_Global_Mazda_MX-5_Cup
9,Fanatec+Global+Mazda+MX-5+Cup,3124,oulton+park+circuit,10#Oulton_Park_Circuit#Fosters,181,117,0,10,Fosters,9,3124#Fanatec_Global_Mazda_MX-5_Cup
10,Fanatec+Global+Mazda+MX-5+Cup,3124,oran+park+raceway,11#Oran_Park_Raceway#South,208,126,2,11,South,0,3124#Fanatec_Global_Mazda_MX-5_Cup
11,Fanatec+Global+Mazda+MX-5+Cup,3124,weathertech+raceway+at+laguna+seca,12#WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,12,Full+Course,1,3124#Fanatec_Global_Mazda_MX-5_Cup
