,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,weathertech+raceway+at+laguna+seca,1_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,1,Full+Course,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
1,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,new+hampshire+motor+speedway,2_New_Hampshire_Motor_Speedway#Road_Course_with_South_Oval,132,72,3,2,Road+Course+with+South+Oval,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
2,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,summit+point+raceway,3_Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,3,Summit+Point+Raceway,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
3,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,donington+park+racing+circuit,4_Donington_Park_Racing_Circuit#National,234,162,2,4,National,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
4,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,oran+park+raceway,5_Oran_Park_Raceway#Grand_Prix,202,126,1,5,Grand+Prix,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
5,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,usa+international+speedway,6_USA_International_Speedway#Asphalt,16,7,0,6,Asphalt,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
6,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,brands+hatch+circuit,7_Brands_Hatch_Circuit#Indy,146,91,2,7,Indy,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
7,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,hockenheimring+baden-w%C3%BCrttemberg,8_Hockenheimring_Baden-Württemberg#National_A,391,350,0,8,National+A,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
8,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,long+beach+street+circuit,9_Long_Beach_Street_Circuit#,179,116,0,9,,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
9,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,new+hampshire+motor+speedway,10_New_Hampshire_Motor_Speedway#Oval,131,72,1,10,Oval,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
10,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,lime+rock+park,11_Lime_Rock_Park#Classic,352,304,2,11,Classic,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
11,Cooper+Tires+USF+2000+Championship+-+Fixed,3126,oulton+park+circuit,12_Oulton_Park_Circuit#International,180,117,0,12,International,0,3126#Cooper_Tires_USF_2000_Championship_-_Fixed
