,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,BMW+12.0+Challenge+-+Fixed,3127,summit+point+raceway,1_Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,1,Summit+Point+Raceway,0,3127#BMW_12.0_Challenge_-_Fixed
1,BMW+12.0+Challenge+-+Fixed,3127,oran+park+raceway,2_Oran_Park_Raceway#Grand_Prix,202,126,1,2,Grand+Prix,9,3127#BMW_12.0_Challenge_-_Fixed
2,BMW+12.0+Challenge+-+Fixed,3127,lime+rock+park,3_Lime_Rock_Park#Classic,352,304,2,3,Classic,0,3127#BMW_12.0_Challenge_-_Fixed
3,BMW+12.0+Challenge+-+Fixed,3127,charlotte+motor+speedway,4_Charlotte_Motor_Speedway#Roval,350,268,0,4,Roval,0,3127#BMW_12.0_Challenge_-_Fixed
4,BMW+12.0+Challenge+-+Fixed,3127,tsukuba+circuit,5_Tsukuba_Circuit#2000_Full,324,267,1,5,2000+Full,0,3127#BMW_12.0_Challenge_-_Fixed
5,BMW+12.0+Challenge+-+Fixed,3127,hockenheimring+baden-w%C3%BCrttemberg,6_Hockenheimring_Baden-Württemberg#National_A,391,350,0,6,National+A,0,3127#BMW_12.0_Challenge_-_Fixed
6,BMW+12.0+Challenge+-+Fixed,3127,brands+hatch+circuit,7_Brands_Hatch_Circuit#Grand_Prix,145,91,1,7,Grand+Prix,9,3127#BMW_12.0_Challenge_-_Fixed
7,BMW+12.0+Challenge+-+Fixed,3127,watkins+glen+international,8_Watkins_Glen_International#Cup,106,56,1,8,Cup,2,3127#BMW_12.0_Challenge_-_Fixed
8,BMW+12.0+Challenge+-+Fixed,3127,long+beach+street+circuit,9_Long_Beach_Street_Circuit#,179,116,0,9,,0,3127#BMW_12.0_Challenge_-_Fixed
9,BMW+12.0+Challenge+-+Fixed,3127,donington+park+racing+circuit,10_Donington_Park_Racing_Circuit#National,234,162,2,10,National,0,3127#BMW_12.0_Challenge_-_Fixed
10,BMW+12.0+Challenge+-+Fixed,3127,new+hampshire+motor+speedway,11_New_Hampshire_Motor_Speedway#Road_Course_with_South_Oval,132,72,3,11,Road+Course+with+South+Oval,0,3127#BMW_12.0_Challenge_-_Fixed
11,BMW+12.0+Challenge+-+Fixed,3127,weathertech+raceway+at+laguna+seca,12_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,12,Full+Course,0,3127#BMW_12.0_Challenge_-_Fixed
