,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Turn+Racing+Touring+Car+Challenge,3128,long+beach+street+circuit,1#Long_Beach_Street_Circuit#,179,116,0,1,,0,3128#Turn_Racing_Touring_Car_Challenge
1,Turn+Racing+Touring+Car+Challenge,3128,brands+hatch+circuit,2#Brands_Hatch_Circuit#Grand_Prix,145,91,1,2,Grand+Prix,9,3128#Turn_Racing_Touring_Car_Challenge
2,Turn+Racing+Touring+Car+Challenge,3128,charlotte+motor+speedway,3#Charlotte_Motor_Speedway#Roval,350,268,0,3,Roval,0,3128#Turn_Racing_Touring_Car_Challenge
3,Turn+Racing+Touring+Car+Challenge,3128,summit+point+raceway,4#Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,4,Summit+Point+Raceway,0,3128#Turn_Racing_Touring_Car_Challenge
4,Turn+Racing+Touring+Car+Challenge,3128,oran+park+raceway,5#Oran_Park_Raceway#Grand_Prix,202,126,1,5,Grand+Prix,0,3128#Turn_Racing_Touring_Car_Challenge
5,Turn+Racing+Touring+Car+Challenge,3128,weathertech+raceway+at+laguna+seca,6#WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,6,Full+Course,0,3128#Turn_Racing_Touring_Car_Challenge
6,Turn+Racing+Touring+Car+Challenge,3128,tsukuba+circuit,7#Tsukuba_Circuit#2000_Full,324,267,1,7,2000+Full,9,3128#Turn_Racing_Touring_Car_Challenge
7,Turn+Racing+Touring+Car+Challenge,3128,donington+park+racing+circuit,8#Donington_Park_Racing_Circuit#National,234,162,2,8,National,2,3128#Turn_Racing_Touring_Car_Challenge
8,Turn+Racing+Touring+Car+Challenge,3128,new+hampshire+motor+speedway,9#New_Hampshire_Motor_Speedway#Road_Course_with_South_Oval,132,72,3,9,Road+Course+with+South+Oval,0,3128#Turn_Racing_Touring_Car_Challenge
9,Turn+Racing+Touring+Car+Challenge,3128,watkins+glen+international,10#Watkins_Glen_International#Cup,106,56,1,10,Cup,0,3128#Turn_Racing_Touring_Car_Challenge
10,Turn+Racing+Touring+Car+Challenge,3128,hockenheimring+baden-w%C3%BCrttemberg,11#Hockenheimring_Baden-Württemberg#National_A,391,350,0,11,National+A,0,3128#Turn_Racing_Touring_Car_Challenge
11,Turn+Racing+Touring+Car+Challenge,3128,lime+rock+park,12#Lime_Rock_Park#Classic,352,304,2,12,Classic,0,3128#Turn_Racing_Touring_Car_Challenge
