,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Skip+Barber+Race+Series,3135,okayama+international+circuit,1#Okayama_International_Circuit#Full_Course,166,109,0,1,Full+Course,1,3135#Skip_Barber_Race_Series
1,Skip+Barber+Race+Series,3135,road+atlanta,2#Road_Atlanta#Full_Course,127,67,1,2,Full+Course,0,3135#Skip_Barber_Race_Series
2,Skip+Barber+Race+Series,3135,suzuka+international+racing+course,3#Suzuka_International_Racing_Course#West,175,114,0,3,West,4,3135#Skip_Barber_Race_Series
3,Skip+Barber+Race+Series,3135,aut%C3%B3dromo+jos%C3%A9+carlos+pace,4#Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,4,Grand+Prix,1,3135#Skip_Barber_Race_Series
4,Skip+Barber+Race+Series,3135,watkins+glen+international,5#Watkins_Glen_International#Cup,106,56,1,5,Cup,0,3135#Skip_Barber_Race_Series
5,Skip+Barber+Race+Series,3135,mid-ohio+sports+car+course,6#Mid-Ohio_Sports_Car_Course#Full_Course,153,96,1,6,Full+Course,4,3135#Skip_Barber_Race_Series
6,Skip+Barber+Race+Series,3135,oran+park+raceway,7#Oran_Park_Raceway#Grand_Prix,202,126,1,7,Grand+Prix,1,3135#Skip_Barber_Race_Series
7,Skip+Barber+Race+Series,3135,autodromo+internazionale+enzo+e+dino+ferrari,8#Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,8,Grand+Prix,0,3135#Skip_Barber_Race_Series
8,Skip+Barber+Race+Series,3135,mount+panorama+circuit,9#Mount_Panorama_Circuit#,219,146,0,9,,4,3135#Skip_Barber_Race_Series
9,Skip+Barber+Race+Series,3135,hockenheimring+baden-w%C3%BCrttemberg,10#Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,10,Grand+Prix,1,3135#Skip_Barber_Race_Series
10,Skip+Barber+Race+Series,3135,sonoma+raceway,11#Sonoma_Raceway#Cup,98,35,3,11,Cup,0,3135#Skip_Barber_Race_Series
11,Skip+Barber+Race+Series,3135,long+beach+street+circuit,12#Long_Beach_Street_Circuit#,179,116,0,12,,5,3135#Skip_Barber_Race_Series
