,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,iRacing+Formula+Renault+2.0,3136,road+america,1#Road_America#Full_Course,18,11,1,1,Full+Course,4,3136#iRacing_Formula_Renault_2.0
1,iRacing+Formula+Renault+2.0,3136,weathertech+raceway+at+laguna+seca,2#WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,2,Full+Course,1,3136#iRacing_Formula_Renault_2.0
2,iRacing+Formula+Renault+2.0,3136,n%C3%BCrburgring+grand-prix-strecke,3#Nürburgring_Grand-Prix-Strecke#BES%2FWEC,255,185,4,3,BES%2FWEC,0,3136#iRacing_Formula_Renault_2.0
3,iRacing+Formula+Renault+2.0,3136,aut%C3%B3dromo+jos%C3%A9+carlos+pace,4#Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,4,Grand+Prix,4,3136#iRacing_Formula_Renault_2.0
4,iRacing+Formula+Renault+2.0,3136,oulton+park+circuit,5#Oulton_Park_Circuit#Intl_w%2Fno_Chicanes,185,117,0,5,Intl+w%2Fno+Chicanes,1,3136#iRacing_Formula_Renault_2.0
5,iRacing+Formula+Renault+2.0,3136,phillip+island+circuit,6#Phillip_Island_Circuit#,152,93,0,6,,0,3136#iRacing_Formula_Renault_2.0
6,iRacing+Formula+Renault+2.0,3136,circuit+zolder,7#Circuit_Zolder#Grand_Prix,199,124,0,7,Grand+Prix,4,3136#iRacing_Formula_Renault_2.0
7,iRacing+Formula+Renault+2.0,3136,suzuka+international+racing+course,8#Suzuka_International_Racing_Course#Grand_Prix,168,114,0,8,Grand+Prix,4,3136#iRacing_Formula_Renault_2.0
8,iRacing+Formula+Renault+2.0,3136,circuit+de+spa-francorchamps,9#Circuit_de_Spa-Francorchamps#Classic_Pits,164,103,1,9,Classic+Pits,5,3136#iRacing_Formula_Renault_2.0
9,iRacing+Formula+Renault+2.0,3136,mount+panorama+circuit,10#Mount_Panorama_Circuit#,219,146,0,10,,0,3136#iRacing_Formula_Renault_2.0
10,iRacing+Formula+Renault+2.0,3136,watkins+glen+international,11#Watkins_Glen_International#Classic_Boot,108,56,3,11,Classic+Boot,1,3136#iRacing_Formula_Renault_2.0
11,iRacing+Formula+Renault+2.0,3136,road+atlanta,12#Road_Atlanta#Full_Course,127,67,1,12,Full+Course,0,3136#iRacing_Formula_Renault_2.0
