,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,IMSA+Michelin+Pilot+Challenge,3137,sebring+international+raceway,1#Sebring_International_Raceway#International,95,40,1,1,International,9,3137#IMSA_Michelin_Pilot_Challenge
1,IMSA+Michelin+Pilot+Challenge,3137,lime+rock+park,2#Lime_Rock_Park#Classic,352,304,2,2,Classic,1,3137#IMSA_Michelin_Pilot_Challenge
2,IMSA+Michelin+Pilot+Challenge,3137,circuit+de+barcelona+catalunya,3#Circuit_de_Barcelona_Catalunya#Historic,349,292,4,3,Historic,2,3137#IMSA_Michelin_Pilot_Challenge
3,IMSA+Michelin+Pilot+Challenge,3137,sonoma+raceway,4#Sonoma_Raceway#Cup_Historic,48,35,2,4,Cup+Historic,9,3137#IMSA_Michelin_Pilot_Challenge
4,IMSA+Michelin+Pilot+Challenge,3137,phillip+island+circuit,5#Phillip_Island_Circuit#,152,93,0,5,,5,3137#IMSA_Michelin_Pilot_Challenge
5,IMSA+Michelin+Pilot+Challenge,3137,n%C3%BCrburgring+combined,6#Nürburgring_Combined#Gesamtstrecke_24h,252,186,8,6,Gesamtstrecke+24h,9,3137#IMSA_Michelin_Pilot_Challenge
6,IMSA+Michelin+Pilot+Challenge,3137,brands+hatch+circuit,7#Brands_Hatch_Circuit#Grand_Prix,145,91,1,7,Grand+Prix,2,3137#IMSA_Michelin_Pilot_Challenge
7,IMSA+Michelin+Pilot+Challenge,3137,long+beach+street+circuit,8#Long_Beach_Street_Circuit#,179,116,0,8,,0,3137#IMSA_Michelin_Pilot_Challenge
8,IMSA+Michelin+Pilot+Challenge,3137,mid-ohio+sports+car+course,9#Mid-Ohio_Sports_Car_Course#Full_Course,153,96,1,9,Full+Course,9,3137#IMSA_Michelin_Pilot_Challenge
9,IMSA+Michelin+Pilot+Challenge,3137,charlotte+motor+speedway,10#Charlotte_Motor_Speedway#Roval,350,268,0,10,Roval,3,3137#IMSA_Michelin_Pilot_Challenge
10,IMSA+Michelin+Pilot+Challenge,3137,hockenheimring+baden-w%C3%BCrttemberg,11#Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,11,Grand+Prix,1,3137#IMSA_Michelin_Pilot_Challenge
11,IMSA+Michelin+Pilot+Challenge,3137,road+atlanta,12#Road_Atlanta#Full_Course,127,67,1,12,Full+Course,0,3137#IMSA_Michelin_Pilot_Challenge
