,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Ruf+GT3+Challenge,3138,circuit+de+spa-francorchamps,1#Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,1,Grand+Prix+Pits,3,3138#Ruf_GT3_Challenge
1,Ruf+GT3+Challenge,3138,autodromo+internazionale+enzo+e+dino+ferrari,2#Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,2,Grand+Prix,1,3138#Ruf_GT3_Challenge
2,Ruf+GT3+Challenge,3138,road+america,3#Road_America#Full_Course,18,11,1,3,Full+Course,5,3138#Ruf_GT3_Challenge
3,Ruf+GT3+Challenge,3138,detroit+grand+prix+at+belle+isle,4#Detroit_Grand_Prix_at_Belle_Isle#Belle_Isle,319,259,0,4,Belle+Isle,0,3138#Ruf_GT3_Challenge
4,Ruf+GT3+Challenge,3138,n%C3%BCrburgring+combined,5#Nürburgring_Combined#Gesamtstrecke_VLN,262,186,9,5,Gesamtstrecke+VLN,5,3138#Ruf_GT3_Challenge
5,Ruf+GT3+Challenge,3138,circuit+park+zandvoort,6#Circuit_Park_Zandvoort#Grand_Prix,149,92,1,6,Grand+Prix,2,3138#Ruf_GT3_Challenge
6,Ruf+GT3+Challenge,3138,long+beach+street+circuit,7#Long_Beach_Street_Circuit#,179,116,0,7,,1,3138#Ruf_GT3_Challenge
7,Ruf+GT3+Challenge,3138,okayama+international+circuit,8#Okayama_International_Circuit#Full_Course,166,109,0,8,Full+Course,0,3138#Ruf_GT3_Challenge
8,Ruf+GT3+Challenge,3138,mount+panorama+circuit,9#Mount_Panorama_Circuit#,219,146,0,9,,8,3138#Ruf_GT3_Challenge
9,Ruf+GT3+Challenge,3138,silverstone+circuit,10#Silverstone_Circuit#Grand_Prix,341,282,1,10,Grand+Prix,1,3138#Ruf_GT3_Challenge
10,Ruf+GT3+Challenge,3138,circuit+gilles+villeneuve,11#Circuit_Gilles_Villeneuve#,218,145,0,11,,2,3138#Ruf_GT3_Challenge
11,Ruf+GT3+Challenge,3138,suzuka+international+racing+course,12#Suzuka_International_Racing_Course#Grand_Prix,168,114,0,12,Grand+Prix,1,3138#Ruf_GT3_Challenge
