,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,iRacing+Spec+Racer+Ford+Challenge,3139,okayama+international+circuit,1_Okayama_International_Circuit#Full_Course,166,109,0,1,Full+Course,1,3139#iRacing_Spec_Racer_Ford_Challenge
1,iRacing+Spec+Racer+Ford+Challenge,3139,watkins+glen+international,2_Watkins_Glen_International#Boot,107,56,2,2,Boot,4,3139#iRacing_Spec_Racer_Ford_Challenge
2,iRacing+Spec+Racer+Ford+Challenge,3139,sonoma+raceway,3_Sonoma_Raceway#Cup_Historic,48,35,2,3,Cup+Historic,1,3139#iRacing_Spec_Racer_Ford_Challenge
3,iRacing+Spec+Racer+Ford+Challenge,3139,tsukuba+circuit,4_Tsukuba_Circuit#2000_Full,324,267,1,4,2000+Full,9,3139#iRacing_Spec_Racer_Ford_Challenge
4,iRacing+Spec+Racer+Ford+Challenge,3139,hockenheimring+baden-w%C3%BCrttemberg,5_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,5,Grand+Prix,9,3139#iRacing_Spec_Racer_Ford_Challenge
5,iRacing+Spec+Racer+Ford+Challenge,3139,brands+hatch+circuit,6_Brands_Hatch_Circuit#Grand_Prix,145,91,1,6,Grand+Prix,0,3139#iRacing_Spec_Racer_Ford_Challenge
6,iRacing+Spec+Racer+Ford+Challenge,3139,mount+panorama+circuit,7_Mount_Panorama_Circuit#,219,146,0,7,,4,3139#iRacing_Spec_Racer_Ford_Challenge
7,iRacing+Spec+Racer+Ford+Challenge,3139,oulton+park+circuit,8_Oulton_Park_Circuit#Fosters,181,117,0,8,Fosters,1,3139#iRacing_Spec_Racer_Ford_Challenge
8,iRacing+Spec+Racer+Ford+Challenge,3139,suzuka+international+racing+course,9_Suzuka_International_Racing_Course#Grand_Prix,168,114,0,9,Grand+Prix,0,3139#iRacing_Spec_Racer_Ford_Challenge
9,iRacing+Spec+Racer+Ford+Challenge,3139,long+beach+street+circuit,10_Long_Beach_Street_Circuit#,179,116,0,10,,5,3139#iRacing_Spec_Racer_Ford_Challenge
10,iRacing+Spec+Racer+Ford+Challenge,3139,summit+point+raceway,11_Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,11,Summit+Point+Raceway,9,3139#iRacing_Spec_Racer_Ford_Challenge
11,iRacing+Spec+Racer+Ford+Challenge,3139,sebring+international+raceway,12_Sebring_International_Raceway#International,95,40,1,12,International,0,3139#iRacing_Spec_Racer_Ford_Challenge
