,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Fanatec+Global+Challenge,3140,okayama+international+circuit,1_Okayama_International_Circuit#Full_Course,166,109,0,1,Full+Course,1,3140#Fanatec_Global_Challenge
1,Fanatec+Global+Challenge,3140,circuit+de+spa-francorchamps,2_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,2,Grand+Prix+Pits,0,3140#Fanatec_Global_Challenge
2,Fanatec+Global+Challenge,3140,hockenheimring+baden-w%C3%BCrttemberg,3_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,3,Grand+Prix,2,3140#Fanatec_Global_Challenge
3,Fanatec+Global+Challenge,3140,weathertech+raceway+at+laguna+seca,4_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,4,Full+Course,1,3140#Fanatec_Global_Challenge
4,Fanatec+Global+Challenge,3140,long+beach+street+circuit,5_Long_Beach_Street_Circuit#,179,116,0,5,,0,3140#Fanatec_Global_Challenge
5,Fanatec+Global+Challenge,3140,n%C3%BCrburgring+combined,6_Nürburgring_Combined#Gesamtstrecke_Long,264,186,11,6,Gesamtstrecke+Long,2,3140#Fanatec_Global_Challenge
6,Fanatec+Global+Challenge,3140,donington+park+racing+circuit,7_Donington_Park_Racing_Circuit#National,234,162,2,7,National,1,3140#Fanatec_Global_Challenge
7,Fanatec+Global+Challenge,3140,daytona+international+speedway,8_Daytona_International_Speedway#Road_Course,192,120,0,8,Road+Course,0,3140#Fanatec_Global_Challenge
8,Fanatec+Global+Challenge,3140,sebring+international+raceway,9_Sebring_International_Raceway#International,95,40,1,9,International,2,3140#Fanatec_Global_Challenge
9,Fanatec+Global+Challenge,3140,circuit+zolder,10_Circuit_Zolder#Grand_Prix,199,124,0,10,Grand+Prix,1,3140#Fanatec_Global_Challenge
10,Fanatec+Global+Challenge,3140,charlotte+motor+speedway,11_Charlotte_Motor_Speedway#Roval,350,268,0,11,Roval,0,3140#Fanatec_Global_Challenge
11,Fanatec+Global+Challenge,3140,watkins+glen+international,12_Watkins_Glen_International#Boot,107,56,2,12,Boot,2,3140#Fanatec_Global_Challenge
