,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Radical+Racing+Challenge+C,3141,watkins+glen+international,1_Watkins_Glen_International#Boot,107,56,2,1,Boot,1,3141#Radical_Racing_Challenge_C
1,Radical+Racing+Challenge+C,3141,oulton+park+circuit,2_Oulton_Park_Circuit#Intl_w%2Fno_Chicanes,185,117,0,2,Intl+w%2Fno+Chicanes,1,3141#Radical_Racing_Challenge_C
2,Radical+Racing+Challenge+C,3141,autodromo+nazionale+monza,3_Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,3,Grand+Prix,1,3141#Radical_Racing_Challenge_C
3,Radical+Racing+Challenge+C,3141,road+atlanta,4_Road_Atlanta#Full_Course,127,67,1,4,Full+Course,1,3141#Radical_Racing_Challenge_C
4,Radical+Racing+Challenge+C,3141,circuit+de+spa-francorchamps,5_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,5,Grand+Prix+Pits,1,3141#Radical_Racing_Challenge_C
5,Radical+Racing+Challenge+C,3141,circuit+de+barcelona+catalunya,6_Circuit_de_Barcelona_Catalunya#Grand_Prix,345,292,0,6,Grand+Prix,5,3141#Radical_Racing_Challenge_C
6,Radical+Racing+Challenge+C,3141,circuit+des+24+heures+du+mans,7_Circuit_des_24_Heures_du_Mans#24_Heures_du_Mans,268,204,1,7,24+Heures+du+Mans,1,3141#Radical_Racing_Challenge_C
7,Radical+Racing+Challenge+C,3141,road+america,8_Road_America#Full_Course,18,11,1,8,Full+Course,1,3141#Radical_Racing_Challenge_C
8,Radical+Racing+Challenge+C,3141,okayama+international+circuit,9_Okayama_International_Circuit#Full_Course,166,109,0,9,Full+Course,5,3141#Radical_Racing_Challenge_C
9,Radical+Racing+Challenge+C,3141,silverstone+circuit,10_Silverstone_Circuit#Grand_Prix,341,282,1,10,Grand+Prix,1,3141#Radical_Racing_Challenge_C
10,Radical+Racing+Challenge+C,3141,suzuka+international+racing+course,11_Suzuka_International_Racing_Course#Grand_Prix,168,114,0,11,Grand+Prix,1,3141#Radical_Racing_Challenge_C
11,Radical+Racing+Challenge+C,3141,n%C3%BCrburgring+nordschleife,12_Nürburgring_Nordschleife#Industriefahrten,249,184,1,12,Industriefahrten,1,3141#Radical_Racing_Challenge_C
