,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Kamel+GT+Championship+,3142,road+america,1#Road_America#Full_Course,18,11,1,1,Full+Course,0,3142#Kamel_GT_Championship_
1,Kamel+GT+Championship+,3142,okayama+international+circuit,2#Okayama_International_Circuit#Full_Course,166,109,0,2,Full+Course,1,3142#Kamel_GT_Championship_
2,Kamel+GT+Championship+,3142,aut%C3%B3dromo+jos%C3%A9+carlos+pace,3#Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,3,Grand+Prix,4,3142#Kamel_GT_Championship_
3,Kamel+GT+Championship+,3142,circuit+of+the+americas,4#Circuit_of_the_Americas#Grand_Prix,229,154,0,4,Grand+Prix,9,3142#Kamel_GT_Championship_
4,Kamel+GT+Championship+,3142,circuit+de+spa-francorchamps,5#Circuit_de_Spa-Francorchamps#Endurance,165,103,0,5,Endurance,1,3142#Kamel_GT_Championship_
5,Kamel+GT+Championship+,3142,indianapolis+motor+speedway,6#Indianapolis_Motor_Speedway#Road_Course,134,73,2,6,Road+Course,1,3142#Kamel_GT_Championship_
6,Kamel+GT+Championship+,3142,twin+ring+motegi,7#Twin_Ring_Motegi#Grand_Prix,195,123,0,7,Grand+Prix,0,3142#Kamel_GT_Championship_
7,Kamel+GT+Championship+,3142,summit+point+raceway,8#Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,8,Summit+Point+Raceway,0,3142#Kamel_GT_Championship_
8,Kamel+GT+Championship+,3142,hockenheimring+baden-w%C3%BCrttemberg,9#Hockenheimring_Baden-Württemberg#Outer,395,350,0,9,Outer,1,3142#Kamel_GT_Championship_
9,Kamel+GT+Championship+,3142,watkins+glen+international,10#Watkins_Glen_International#Classic_Boot,108,56,3,10,Classic+Boot,4,3142#Kamel_GT_Championship_
10,Kamel+GT+Championship+,3142,lime+rock+park,11#Lime_Rock_Park#Classic,352,304,2,11,Classic,1,3142#Kamel_GT_Championship_
11,Kamel+GT+Championship+,3142,road+atlanta,12#Road_Atlanta#Full_Course,127,67,1,12,Full+Course,4,3142#Kamel_GT_Championship_
