,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,IndyCar+Series+-+Road,3151,auto+club+speedway,1_Auto_Club_Speedway#Oval,225,151,0,1,Oval,3,3151#IndyCar_Series_-_Road
1,IndyCar+Series+-+Road,3151,n%C3%BCrburgring+combined,2_Nürburgring_Combined#Gesamtstrecke_VLN,262,186,9,2,Gesamtstrecke+VLN,9,3151#IndyCar_Series_-_Road
2,IndyCar+Series+-+Road,3151,twin+ring+motegi,3_Twin_Ring_Motegi#Oval,198,123,0,3,Oval,1,3151#IndyCar_Series_-_Road
3,IndyCar+Series+-+Road,3151,long+beach+street+circuit,4_Long_Beach_Street_Circuit#,179,116,0,4,,9,3151#IndyCar_Series_-_Road
4,IndyCar+Series+-+Road,3151,barber+motorsports+park,5_Barber_Motorsports_Park#Full_Course,46,33,1,5,Full+Course,0,3151#IndyCar_Series_-_Road
5,IndyCar+Series+-+Road,3151,the+milwaukee+mile,6_The_Milwaukee_Mile#,94,41,0,6,,1,3151#IndyCar_Series_-_Road
6,IndyCar+Series+-+Road,3151,texas+motor+speedway,7_Texas_Motor_Speedway#Oval,357,310,0,7,Oval,8,3151#IndyCar_Series_-_Road
7,IndyCar+Series+-+Road,3151,circuit+of+the+americas,8_Circuit_of_the_Americas#Grand_Prix,229,154,0,8,Grand+Prix,0,3151#IndyCar_Series_-_Road
8,IndyCar+Series+-+Road,3151,indianapolis+motor+speedway,9_Indianapolis_Motor_Speedway#Road_Course,134,73,2,9,Road+Course,9,3151#IndyCar_Series_-_Road
9,IndyCar+Series+-+Road,3151,atlanta+motor+speedway,10_Atlanta_Motor_Speedway#Oval,53,36,1,10,Oval,9,3151#IndyCar_Series_-_Road
10,IndyCar+Series+-+Road,3151,indianapolis+motor+speedway,11_Indianapolis_Motor_Speedway#IndyCar_Oval,178,73,0,11,IndyCar+Oval,9,3151#IndyCar_Series_-_Road
11,IndyCar+Series+-+Road,3151,detroit+grand+prix+at+belle+isle,12_Detroit_Grand_Prix_at_Belle_Isle#Belle_Isle,319,259,0,12,Belle+Isle,0,3151#IndyCar_Series_-_Road
