,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Advanced+Mazda+MX-5+Cup+Series,3152,circuit+de+spa-francorchamps,1#Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,1,Grand+Prix+Pits,0,3152#Advanced_Mazda_MX-5_Cup_Series
1,Advanced+Mazda+MX-5+Cup+Series,3152,brands+hatch+circuit,2#Brands_Hatch_Circuit#Indy,146,91,2,2,Indy,2,3152#Advanced_Mazda_MX-5_Cup_Series
2,Advanced+Mazda+MX-5+Cup+Series,3152,oulton+park+circuit,3#Oulton_Park_Circuit#Fosters,181,117,0,3,Fosters,1,3152#Advanced_Mazda_MX-5_Cup_Series
3,Advanced+Mazda+MX-5+Cup+Series,3152,n%C3%BCrburgring+nordschleife,4#Nürburgring_Nordschleife#Industriefahrten,249,184,1,4,Industriefahrten,0,3152#Advanced_Mazda_MX-5_Cup_Series
4,Advanced+Mazda+MX-5+Cup+Series,3152,lime+rock+park,5#Lime_Rock_Park#Grand_Prix,353,304,1,5,Grand+Prix,2,3152#Advanced_Mazda_MX-5_Cup_Series
5,Advanced+Mazda+MX-5+Cup+Series,3152,n%C3%BCrburgring+grand-prix-strecke,6#Nürburgring_Grand-Prix-Strecke#BES%2FWEC,255,185,4,6,BES%2FWEC,1,3152#Advanced_Mazda_MX-5_Cup_Series
6,Advanced+Mazda+MX-5+Cup+Series,3152,virginia+international+raceway,7#Virginia_International_Raceway#Full_Course,2,14,1,7,Full+Course,0,3152#Advanced_Mazda_MX-5_Cup_Series
7,Advanced+Mazda+MX-5+Cup+Series,3152,circuit+de+barcelona+catalunya,8#Circuit_de_Barcelona_Catalunya#Historic,349,292,4,8,Historic,2,3152#Advanced_Mazda_MX-5_Cup_Series
8,Advanced+Mazda+MX-5+Cup+Series,3152,circuit+park+zandvoort,9#Circuit_Park_Zandvoort#Grand_Prix,149,92,1,9,Grand+Prix,1,3152#Advanced_Mazda_MX-5_Cup_Series
9,Advanced+Mazda+MX-5+Cup+Series,3152,road+america,10#Road_America#Full_Course,18,11,1,10,Full+Course,0,3152#Advanced_Mazda_MX-5_Cup_Series
10,Advanced+Mazda+MX-5+Cup+Series,3152,phillip+island+circuit,11#Phillip_Island_Circuit#,152,93,0,11,,2,3152#Advanced_Mazda_MX-5_Cup_Series
11,Advanced+Mazda+MX-5+Cup+Series,3152,mount+panorama+circuit,12#Mount_Panorama_Circuit#,219,146,0,12,,1,3152#Advanced_Mazda_MX-5_Cup_Series
