,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Apex+Racing+Academy+F3+Championship,3153,weathertech+raceway+at+laguna+seca,1#WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,1,Full+Course,4,3153#Apex_Racing_Academy_F3_Championship
1,Apex+Racing+Academy+F3+Championship,3153,long+beach+street+circuit,2#Long_Beach_Street_Circuit#,179,116,0,2,,1,3153#Apex_Racing_Academy_F3_Championship
2,Apex+Racing+Academy+F3+Championship,3153,n%C3%BCrburgring+grand-prix-strecke,3#Nürburgring_Grand-Prix-Strecke#Grand_Prix,250,185,3,3,Grand+Prix,0,3153#Apex_Racing_Academy_F3_Championship
3,Apex+Racing+Academy+F3+Championship,3153,oulton+park+circuit,4#Oulton_Park_Circuit#Intl_w%2Fno_Chicanes,185,117,0,4,Intl+w%2Fno+Chicanes,4,3153#Apex_Racing_Academy_F3_Championship
4,Apex+Racing+Academy+F3+Championship,3153,autodromo+internazionale+enzo+e+dino+ferrari,5#Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,5,Grand+Prix,1,3153#Apex_Racing_Academy_F3_Championship
5,Apex+Racing+Academy+F3+Championship,3153,circuit+zolder,6#Circuit_Zolder#Alternate,200,124,0,6,Alternate,0,3153#Apex_Racing_Academy_F3_Championship
6,Apex+Racing+Academy+F3+Championship,3153,phillip+island+circuit,7#Phillip_Island_Circuit#,152,93,0,7,,4,3153#Apex_Racing_Academy_F3_Championship
7,Apex+Racing+Academy+F3+Championship,3153,circuit+gilles+villeneuve,8#Circuit_Gilles_Villeneuve#,218,145,0,8,,4,3153#Apex_Racing_Academy_F3_Championship
8,Apex+Racing+Academy+F3+Championship,3153,okayama+international+circuit,9#Okayama_International_Circuit#Full_Course,166,109,0,9,Full+Course,5,3153#Apex_Racing_Academy_F3_Championship
9,Apex+Racing+Academy+F3+Championship,3153,silverstone+circuit,10#Silverstone_Circuit#Grand_Prix,341,282,1,10,Grand+Prix,0,3153#Apex_Racing_Academy_F3_Championship
10,Apex+Racing+Academy+F3+Championship,3153,road+atlanta,11#Road_Atlanta#Full_Course,127,67,1,11,Full+Course,1,3153#Apex_Racing_Academy_F3_Championship
11,Apex+Racing+Academy+F3+Championship,3153,autodromo+nazionale+monza,12#Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,12,Grand+Prix,0,3153#Apex_Racing_Academy_F3_Championship
