,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Indy+Pro+2000+Championship,3154,watkins+glen+international,1_Watkins_Glen_International#Boot,107,56,2,1,Boot,4,3154#Indy_Pro_2000_Championship
1,Indy+Pro+2000+Championship,3154,autodromo+nazionale+monza,2_Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,2,Grand+Prix,0,3154#Indy_Pro_2000_Championship
2,Indy+Pro+2000+Championship,3154,iowa+speedway,3_Iowa_Speedway#Oval,169,115,0,3,Oval,8,3154#Indy_Pro_2000_Championship
3,Indy+Pro+2000+Championship,3154,n%C3%BCrburgring+nordschleife,4_Nürburgring_Nordschleife#Industriefahrten,249,184,1,4,Industriefahrten,9,3154#Indy_Pro_2000_Championship
4,Indy+Pro+2000+Championship,3154,hockenheimring+baden-w%C3%BCrttemberg,5_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,5,Grand+Prix,4,3154#Indy_Pro_2000_Championship
5,Indy+Pro+2000+Championship,3154,phoenix+raceway,6_Phoenix_Raceway#Oval_w%2Fopen_dogleg,236,163,1,6,Oval+w%2Fopen+dogleg,3,3154#Indy_Pro_2000_Championship
6,Indy+Pro+2000+Championship,3154,long+beach+street+circuit,7_Long_Beach_Street_Circuit#,179,116,0,7,,1,3154#Indy_Pro_2000_Championship
7,Indy+Pro+2000+Championship,3154,daytona+international+speedway,8_Daytona_International_Speedway#Road_Course,192,120,0,8,Road+Course,5,3154#Indy_Pro_2000_Championship
8,Indy+Pro+2000+Championship,3154,weathertech+raceway+at+laguna+seca,9_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,9,Full+Course,4,3154#Indy_Pro_2000_Championship
9,Indy+Pro+2000+Championship,3154,usa+international+speedway,10_USA_International_Speedway#Asphalt,16,7,0,10,Asphalt,1,3154#Indy_Pro_2000_Championship
10,Indy+Pro+2000+Championship,3154,circuit+de+spa-francorchamps,11_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,11,Grand+Prix+Pits,1,3154#Indy_Pro_2000_Championship
11,Indy+Pro+2000+Championship,3154,barber+motorsports+park,12_Barber_Motorsports_Park#Full_Course,46,33,1,12,Full+Course,1,3154#Indy_Pro_2000_Championship
