,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Supercars+Series,3155,watkins+glen+international,1_Watkins_Glen_International#Boot,107,56,2,1,Boot,9,3155#Supercars_Series
1,Supercars+Series,3155,sebring+international+raceway,2_Sebring_International_Raceway#International,95,40,1,2,International,8,3155#Supercars_Series
2,Supercars+Series,3155,canadian+tire+motorsports+park,3_Canadian_Tire_Motorsports_Park#,144,90,0,3,,0,3155#Supercars_Series
3,Supercars+Series,3155,hockenheimring+baden-w%C3%BCrttemberg,4_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,4,Grand+Prix,1,3155#Supercars_Series
4,Supercars+Series,3155,aut%C3%B3dromo+jos%C3%A9+carlos+pace,5_Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,5,Grand+Prix,0,3155#Supercars_Series
5,Supercars+Series,3155,charlotte+motor+speedway,6_Charlotte_Motor_Speedway#Roval,350,268,0,6,Roval,9,3155#Supercars_Series
6,Supercars+Series,3155,oran+park+raceway,7_Oran_Park_Raceway#Grand_Prix,202,126,1,7,Grand+Prix,1,3155#Supercars_Series
7,Supercars+Series,3155,silverstone+circuit,8_Silverstone_Circuit#Grand_Prix,341,282,1,8,Grand+Prix,0,3155#Supercars_Series
8,Supercars+Series,3155,road+atlanta,9_Road_Atlanta#Full_Course,127,67,1,9,Full+Course,0,3155#Supercars_Series
9,Supercars+Series,3155,circuit+de+spa-francorchamps,10_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,10,Grand+Prix+Pits,2,3155#Supercars_Series
10,Supercars+Series,3155,brands+hatch+circuit,11_Brands_Hatch_Circuit#Grand_Prix,145,91,1,11,Grand+Prix,1,3155#Supercars_Series
11,Supercars+Series,3155,donington+park+racing+circuit,12_Donington_Park_Racing_Circuit#Grand_Prix,233,162,1,12,Grand+Prix,1,3155#Supercars_Series
