,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Supercars+Series+-+Australian+Server+Only,3156,watkins+glen+international,1#Watkins_Glen_International#Boot,107,56,2,1,Boot,9,3156#Supercars_Series_-_Australian_Server_Only
1,Supercars+Series+-+Australian+Server+Only,3156,sebring+international+raceway,2#Sebring_International_Raceway#International,95,40,1,2,International,8,3156#Supercars_Series_-_Australian_Server_Only
2,Supercars+Series+-+Australian+Server+Only,3156,canadian+tire+motorsports+park,3#Canadian_Tire_Motorsports_Park#,144,90,0,3,,0,3156#Supercars_Series_-_Australian_Server_Only
3,Supercars+Series+-+Australian+Server+Only,3156,hockenheimring+baden-w%C3%BCrttemberg,4#Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,4,Grand+Prix,1,3156#Supercars_Series_-_Australian_Server_Only
4,Supercars+Series+-+Australian+Server+Only,3156,aut%C3%B3dromo+jos%C3%A9+carlos+pace,5#Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,5,Grand+Prix,0,3156#Supercars_Series_-_Australian_Server_Only
5,Supercars+Series+-+Australian+Server+Only,3156,charlotte+motor+speedway,6#Charlotte_Motor_Speedway#Roval,350,268,0,6,Roval,9,3156#Supercars_Series_-_Australian_Server_Only
6,Supercars+Series+-+Australian+Server+Only,3156,oran+park+raceway,7#Oran_Park_Raceway#Grand_Prix,202,126,1,7,Grand+Prix,1,3156#Supercars_Series_-_Australian_Server_Only
7,Supercars+Series+-+Australian+Server+Only,3156,silverstone+circuit,8#Silverstone_Circuit#Grand_Prix,341,282,1,8,Grand+Prix,0,3156#Supercars_Series_-_Australian_Server_Only
8,Supercars+Series+-+Australian+Server+Only,3156,road+atlanta,9#Road_Atlanta#Full_Course,127,67,1,9,Full+Course,0,3156#Supercars_Series_-_Australian_Server_Only
9,Supercars+Series+-+Australian+Server+Only,3156,circuit+de+spa-francorchamps,10#Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,10,Grand+Prix+Pits,2,3156#Supercars_Series_-_Australian_Server_Only
10,Supercars+Series+-+Australian+Server+Only,3156,brands+hatch+circuit,11#Brands_Hatch_Circuit#Grand_Prix,145,91,1,11,Grand+Prix,1,3156#Supercars_Series_-_Australian_Server_Only
11,Supercars+Series+-+Australian+Server+Only,3156,donington+park+racing+circuit,12#Donington_Park_Racing_Circuit#Grand_Prix,233,162,1,12,Grand+Prix,1,3156#Supercars_Series_-_Australian_Server_Only
