,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Heusinkveld+GT+Challenge,3158,circuit+de+barcelona+catalunya,1#Circuit_de_Barcelona_Catalunya#Historic,349,292,4,1,Historic,0,3158#Heusinkveld_GT_Challenge
1,Heusinkveld+GT+Challenge,3158,watkins+glen+international,2#Watkins_Glen_International#Boot,107,56,2,2,Boot,0,3158#Heusinkveld_GT_Challenge
2,Heusinkveld+GT+Challenge,3158,sonoma+raceway,3#Sonoma_Raceway#Cup,98,35,3,3,Cup,1,3158#Heusinkveld_GT_Challenge
3,Heusinkveld+GT+Challenge,3158,okayama+international+circuit,4#Okayama_International_Circuit#Full_Course,166,109,0,4,Full+Course,9,3158#Heusinkveld_GT_Challenge
4,Heusinkveld+GT+Challenge,3158,hockenheimring+baden-w%C3%BCrttemberg,5#Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,5,Grand+Prix,0,3158#Heusinkveld_GT_Challenge
5,Heusinkveld+GT+Challenge,3158,road+america,6#Road_America#Full_Course,18,11,1,6,Full+Course,2,3158#Heusinkveld_GT_Challenge
6,Heusinkveld+GT+Challenge,3158,donington+park+racing+circuit,7#Donington_Park_Racing_Circuit#Grand_Prix,233,162,1,7,Grand+Prix,9,3158#Heusinkveld_GT_Challenge
7,Heusinkveld+GT+Challenge,3158,circuit+des+24+heures+du+mans,8#Circuit_des_24_Heures_du_Mans#24_Heures_du_Mans,268,204,1,8,24+Heures+du+Mans,5,3158#Heusinkveld_GT_Challenge
8,Heusinkveld+GT+Challenge,3158,mid-ohio+sports+car+course,9#Mid-Ohio_Sports_Car_Course#Full_Course,153,96,1,9,Full+Course,1,3158#Heusinkveld_GT_Challenge
9,Heusinkveld+GT+Challenge,3158,road+atlanta,10#Road_Atlanta#Full_Course,127,67,1,10,Full+Course,0,3158#Heusinkveld_GT_Challenge
10,Heusinkveld+GT+Challenge,3158,summit+point+raceway,11#Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,11,Summit+Point+Raceway,9,3158#Heusinkveld_GT_Challenge
11,Heusinkveld+GT+Challenge,3158,n%C3%BCrburgring+grand-prix-strecke,12#Nürburgring_Grand-Prix-Strecke#BES%2FWEC,255,185,4,12,BES%2FWEC,2,3158#Heusinkveld_GT_Challenge
