,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Grand+Prix+Legends,3159,n%C3%BCrburgring+combined,1_Nürburgring_Combined#Gesamtstrecke_Short_w%2Fout_Arena,263,186,0,1,Gesamtstrecke+Short+w%2Fout+Arena,1,3159#Grand_Prix_Legends
1,Grand+Prix+Legends,3159,lime+rock+park,2_Lime_Rock_Park#Classic,352,304,2,2,Classic,4,3159#Grand_Prix_Legends
2,Grand+Prix+Legends,3159,brands+hatch+circuit,3_Brands_Hatch_Circuit#Grand_Prix,145,91,1,3,Grand+Prix,9,3159#Grand_Prix_Legends
3,Grand+Prix+Legends,3159,donington+park+racing+circuit,4_Donington_Park_Racing_Circuit#Grand_Prix,233,162,1,4,Grand+Prix,0,3159#Grand_Prix_Legends
4,Grand+Prix+Legends,3159,road+atlanta,5_Road_Atlanta#Full_Course,127,67,1,5,Full+Course,1,3159#Grand_Prix_Legends
5,Grand+Prix+Legends,3159,circuit+des+24+heures+du+mans,6_Circuit_des_24_Heures_du_Mans#Historic,269,204,2,6,Historic,5,3159#Grand_Prix_Legends
6,Grand+Prix+Legends,3159,sonoma+raceway,7_Sonoma_Raceway#Cup,98,35,3,7,Cup,0,3159#Grand_Prix_Legends
7,Grand+Prix+Legends,3159,suzuka+international+racing+course,8_Suzuka_International_Racing_Course#Grand_Prix,168,114,0,8,Grand+Prix,1,3159#Grand_Prix_Legends
8,Grand+Prix+Legends,3159,%5Blegacy%5D+michigan+international+speedway+-+2009,9_%5BLegacy%5D_Michigan_International_Speedway_-_2009#,124,66,0,9,,9,3159#Grand_Prix_Legends
9,Grand+Prix+Legends,3159,hockenheimring+baden-w%C3%BCrttemberg,10_Hockenheimring_Baden-Württemberg#Outer,395,350,0,10,Outer,0,3159#Grand_Prix_Legends
10,Grand+Prix+Legends,3159,circuit+gilles+villeneuve,11_Circuit_Gilles_Villeneuve#,218,145,0,11,,1,3159#Grand_Prix_Legends
11,Grand+Prix+Legends,3159,aut%C3%B3dromo+jos%C3%A9+carlos+pace,12_Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,12,Grand+Prix,4,3159#Grand_Prix_Legends
