,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,IMSA+Hagerty+iRacing+Series,3163,n%C3%BCrburgring+grand-prix-strecke,1_Nürburgring_Grand-Prix-Strecke#Grand_Prix,250,185,3,1,Grand+Prix,2,3163#IMSA_Hagerty_iRacing_Series
1,IMSA+Hagerty+iRacing+Series,3163,sebring+international+raceway,2_Sebring_International_Raceway#International,95,40,1,2,International,3,3163#IMSA_Hagerty_iRacing_Series
2,IMSA+Hagerty+iRacing+Series,3163,road+america,3_Road_America#Full_Course,18,11,1,3,Full+Course,1,3163#IMSA_Hagerty_iRacing_Series
3,IMSA+Hagerty+iRacing+Series,3163,long+beach+street+circuit,4_Long_Beach_Street_Circuit#,179,116,0,4,,0,3163#IMSA_Hagerty_iRacing_Series
4,IMSA+Hagerty+iRacing+Series,3163,watkins+glen+international,5_Watkins_Glen_International#Boot,107,56,2,5,Boot,0,3163#IMSA_Hagerty_iRacing_Series
5,IMSA+Hagerty+iRacing+Series,3163,circuit+de+barcelona+catalunya,6_Circuit_de_Barcelona_Catalunya#Historic,349,292,4,6,Historic,0,3163#IMSA_Hagerty_iRacing_Series
6,IMSA+Hagerty+iRacing+Series,3163,road+atlanta,7_Road_Atlanta#Full_Course,127,67,1,7,Full+Course,0,3163#IMSA_Hagerty_iRacing_Series
7,IMSA+Hagerty+iRacing+Series,3163,hockenheimring+baden-w%C3%BCrttemberg,8_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,8,Grand+Prix,9,3163#IMSA_Hagerty_iRacing_Series
8,IMSA+Hagerty+iRacing+Series,3163,mid-ohio+sports+car+course,9_Mid-Ohio_Sports_Car_Course#Full_Course,153,96,1,9,Full+Course,1,3163#IMSA_Hagerty_iRacing_Series
9,IMSA+Hagerty+iRacing+Series,3163,circuit+gilles+villeneuve,10_Circuit_Gilles_Villeneuve#,218,145,0,10,,9,3163#IMSA_Hagerty_iRacing_Series
10,IMSA+Hagerty+iRacing+Series,3163,autodromo+internazionale+enzo+e+dino+ferrari,11_Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,11,Grand+Prix,2,3163#IMSA_Hagerty_iRacing_Series
11,IMSA+Hagerty+iRacing+Series,3163,detroit+grand+prix+at+belle+isle,12_Detroit_Grand_Prix_at_Belle_Isle#Belle_Isle,319,259,0,12,Belle+Isle,5,3163#IMSA_Hagerty_iRacing_Series
