,start_time,carclassid,trackid,sessionid,subsessionid,officialsession,sizeoffield,strengthoffield
0,1616673600000,2708,95,149003730,38023958,1,25,3133
1,1616673600000,2708,95,149003730,38023959,1,25,2046
2,1616673600000,2708,95,149003730,38023960,1,25,1474
3,1616673600000,2708,95,149003730,38023961,1,24,1042
4,1616695200000,2708,95,149019403,38027218,1,30,4026
5,1616695200000,2708,95,149019403,38027219,1,30,2583
6,1616695200000,2708,95,149019403,38027220,1,30,2195
7,1616695200000,2708,95,149019403,38027221,1,30,1983
8,1616695200000,2708,95,149019403,38027222,1,30,1772
9,1616695200000,2708,95,149019403,38027223,1,30,1626
10,1616695200000,2708,95,149019403,38027224,1,30,1460
11,1616695200000,2708,95,149019403,38027225,1,30,1288
12,1616695200000,2708,95,149019403,38027226,1,30,957
13,1616702400000,2708,95,149024779,38028715,1,28,2727
14,1616702400000,2708,95,149024779,38028716,1,28,2363
15,1616702400000,2708,95,149024779,38028717,1,28,2091
16,1616702400000,2708,95,149024779,38028718,1,28,1915
17,1616702400000,2708,95,149024779,38028719,1,28,1781
18,1616702400000,2708,95,149024779,38028720,1,28,1674
19,1616702400000,2708,95,149024779,38028721,1,28,1551
20,1616702400000,2708,95,149024779,38028722,1,28,1418
21,1616702400000,2708,95,149024779,38028723,1,28,1279
22,1616702400000,2708,95,149024779,38028724,1,27,916
23,1616702400000,2708,95,149024779,38028714,1,28,4064
24,1616688000000,2708,95,149014140,38025969,1,30,3637
25,1616688000000,2708,95,149014140,38025970,1,30,2412
26,1616688000000,2708,95,149014140,38025971,1,29,2041
27,1616688000000,2708,95,149014140,38025972,1,29,1840
28,1616688000000,2708,95,149014140,38025973,1,29,1588
29,1616688000000,2708,95,149014140,38025974,1,29,1347
30,1616688000000,2708,95,149014140,38025975,1,29,964
31,1616846400000,2708,95,149132033,38053820,1,29,2949
32,1616846400000,2708,95,149132033,38053821,1,29,1935
33,1616846400000,2708,95,149132033,38053823,1,29,1321
34,1616846400000,2708,95,149132033,38053822,1,29,1574
35,1616846400000,2708,95,149132033,38053824,1,28,924
36,1616882400000,2708,95,149158585,38060313,1,27,758
37,1616882400000,2708,95,149158585,38060306,1,28,2980
38,1616882400000,2708,95,149158585,38060312,1,28,1166
39,1616882400000,2708,95,149158585,38060307,1,28,2248
40,1616882400000,2708,95,149158585,38060308,1,28,1902
41,1616882400000,2708,95,149158585,38060309,1,28,1702
42,1616882400000,2708,95,149158585,38060310,1,28,1524
43,1616882400000,2708,95,149158585,38060311,1,28,1357
44,1616875200000,2708,95,149153206,38058860,1,30,3375
45,1616875200000,2708,95,149153206,38058861,1,30,2315
46,1616875200000,2708,95,149153206,38058862,1,30,2017
47,1616875200000,2708,95,149153206,38058863,1,29,1772
48,1616875200000,2708,95,149153206,38058864,1,29,1596
49,1616875200000,2708,95,149153206,38058865,1,29,1406
50,1616875200000,2708,95,149153206,38058866,1,29,1238
51,1616875200000,2708,95,149153206,38058867,1,29,800
52,1616666400000,2708,95,148998514,38023027,1,28,2986
53,1616666400000,2708,95,148998514,38023028,1,28,1959
54,1616666400000,2708,95,148998514,38023029,1,28,1580
55,1616666400000,2708,95,148998514,38023030,1,27,1127
56,1616745600000,2708,95,149057424,38036957,1,22,2702
57,1616745600000,2708,95,149057424,38036958,1,22,1685
58,1616745600000,2708,95,149057424,38036959,1,21,1112
59,1616630400000,2708,95,148971510,38017044,1,26,900
60,1616630400000,2708,95,148971510,38017040,1,27,3019
61,1616630400000,2708,95,148971510,38017041,1,26,1922
62,1616630400000,2708,95,148971510,38017042,1,26,1566
63,1616630400000,2708,95,148971510,38017043,1,26,1307
64,1616565600000,2708,95,148923849,38006427,1,28,2249
65,1616565600000,2708,95,148923849,38006428,1,27,1114
66,1616508000000,2708,95,148880381,37995158,1,25,3213
67,1616508000000,2708,95,148880381,37995159,1,24,2017
68,1616508000000,2708,95,148880381,37995160,1,24,1569
69,1616508000000,2708,95,148880381,37995161,1,24,1218
70,1616522400000,2708,95,148890884,37997504,1,27,1614
71,1616522400000,2708,95,148890884,37997505,1,27,1415
72,1616522400000,2708,95,148890884,37997506,1,27,1173
73,1616522400000,2708,95,148890884,37997507,1,26,786
74,1616522400000,2708,95,148890884,37997500,1,27,4310
75,1616522400000,2708,95,148890884,37997501,1,27,2553
76,1616522400000,2708,95,148890884,37997502,1,27,2078
77,1616522400000,2708,95,148890884,37997503,1,27,1831
78,1616594400000,2708,95,148944728,38010126,1,28,3264
79,1616594400000,2708,95,148944728,38010127,1,27,2096
80,1616594400000,2708,95,148944728,38010128,1,27,1751
81,1616594400000,2708,95,148944728,38010129,1,27,1484
82,1616594400000,2708,95,148944728,38010130,1,27,1029
83,1616536800000,2708,95,148901747,38000494,1,28,1283
84,1616536800000,2708,95,148901747,38000495,1,28,915
85,1616536800000,2708,95,148901747,38000489,1,29,3251
86,1616536800000,2708,95,148901747,38000490,1,29,2275
87,1616536800000,2708,95,148901747,38000491,1,29,1905
88,1616536800000,2708,95,148901747,38000492,1,28,1713
89,1616536800000,2708,95,148901747,38000493,1,28,1516
90,1616731200000,2708,95,149046879,38034984,1,25,2986
91,1616731200000,2708,95,149046879,38034985,1,25,1804
92,1616731200000,2708,95,149046879,38034986,1,24,1418
93,1616731200000,2708,95,149046879,38034987,1,24,989
94,1616896800000,2708,95,149169420,38063273,1,25,2766
95,1616896800000,2708,95,149169420,38063274,1,25,1819
96,1616896800000,2708,95,149169420,38063275,1,25,1485
97,1616896800000,2708,95,149169420,38063276,1,25,1248
98,1616896800000,2708,95,149169420,38063277,1,24,897
99,1616889600000,2708,95,149163969,38061759,1,29,2489
100,1616889600000,2708,95,149163969,38061760,1,29,1833
101,1616889600000,2708,95,149163969,38061761,1,29,1502
102,1616889600000,2708,95,149163969,38061762,1,29,1241
103,1616889600000,2708,95,149163969,38061763,1,28,887
104,1616493600000,2708,95,148869938,37993253,1,26,2772
105,1616493600000,2708,95,148869938,37993254,1,26,1746
106,1616493600000,2708,95,148869938,37993255,1,25,1053
107,1616788800000,2708,95,149088957,38043527,1,28,1739
108,1616788800000,2708,95,149088957,38043523,1,28,3644
109,1616788800000,2708,95,149088957,38043524,1,28,2586
110,1616788800000,2708,95,149088957,38043525,1,28,2081
111,1616788800000,2708,95,149088957,38043526,1,28,1879
112,1616788800000,2708,95,149088957,38043530,1,28,1375
113,1616788800000,2708,95,149088957,38043531,1,27,1205
114,1616788800000,2708,95,149088957,38043528,1,28,1625
115,1616788800000,2708,95,149088957,38043529,1,28,1513
116,1616788800000,2708,95,149088957,38043532,1,27,861
117,1616457600000,2708,95,148842565,37987072,1,25,2587
118,1616457600000,2708,95,148842565,37987073,1,25,1761
119,1616457600000,2708,95,148842565,37987074,1,25,1495
120,1616457600000,2708,95,148842565,37987075,1,24,963
121,1616601600000,2708,95,148949940,38011157,1,29,3419
122,1616601600000,2708,95,148949940,38011158,1,29,2467
123,1616601600000,2708,95,148949940,38011159,1,29,2037
124,1616601600000,2708,95,148949940,38011160,1,29,1727
125,1616601600000,2708,95,148949940,38011161,1,29,1491
126,1616601600000,2708,95,148949940,38011162,1,28,985
127,1616680800000,2708,95,149008923,38024901,1,30,3001
128,1616680800000,2708,95,149008923,38024902,1,30,2077
129,1616680800000,2708,95,149008923,38024903,1,30,1726
130,1616680800000,2708,95,149008923,38024904,1,30,1446
131,1616680800000,2708,95,149008923,38024905,1,29,1032
132,1616860800000,2708,95,149142559,38056140,1,25,1168
133,1616860800000,2708,95,149142559,38056141,1,25,842
134,1616860800000,2708,95,149142559,38056138,1,25,1628
135,1616860800000,2708,95,149142559,38056139,1,25,1393
136,1616860800000,2708,95,149142559,38056136,1,26,3046
137,1616860800000,2708,95,149142559,38056137,1,25,2023
138,1616572800000,2708,95,148929076,38007327,1,22,2806
139,1616572800000,2708,95,148929076,38007328,1,22,1666
140,1616572800000,2708,95,148929076,38007329,1,22,1081
141,1616709600000,2708,95,149030236,38030271,1,30,1607
142,1616709600000,2708,95,149030236,38030267,1,30,3368
143,1616709600000,2708,95,149030236,38030268,1,30,2429
144,1616709600000,2708,95,149030236,38030269,1,30,2072
145,1616709600000,2708,95,149030236,38030270,1,30,1812
146,1616709600000,2708,95,149030236,38030272,1,30,1425
147,1616709600000,2708,95,149030236,38030273,1,29,1186
148,1616709600000,2708,95,149030236,38030274,1,29,850
149,1617019200000,2708,95,149260545,38084495,1,24,3009
150,1617019200000,2708,95,149260545,38084496,1,24,1885
151,1617019200000,2708,95,149260545,38084497,1,24,1449
152,1617019200000,2708,95,149260545,38084498,1,24,1094
153,1616868000000,2708,95,149147852,38057478,1,27,3141
154,1616868000000,2708,95,149147852,38057479,1,27,2225
155,1616868000000,2708,95,149147852,38057480,1,27,1935
156,1616868000000,2708,95,149147852,38057481,1,27,1747
157,1616868000000,2708,95,149147852,38057482,1,27,1593
158,1616868000000,2708,95,149147852,38057483,1,27,1430
159,1616868000000,2708,95,149147852,38057484,1,27,1288
160,1616868000000,2708,95,149147852,38057485,1,27,1093
161,1616868000000,2708,95,149147852,38057486,1,27,792
162,1616558400000,2708,95,148918516,38005387,1,25,2328
163,1616558400000,2708,95,148918516,38005388,1,25,1560
