,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Classic+Lotus+Grand+Prix,3169,autodromo+nazionale+monza,1_Autodromo_Nazionale_Monza#Combined_without_first_chicane,246,172,5,1,Combined+without+first+chicane,4,3169#Classic_Lotus_Grand_Prix
1,Classic+Lotus+Grand+Prix,3169,hockenheimring+baden-w%C3%BCrttemberg,2_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,2,Grand+Prix,1,3169#Classic_Lotus_Grand_Prix
2,Classic+Lotus+Grand+Prix,3169,brands+hatch+circuit,3_Brands_Hatch_Circuit#Grand_Prix,145,91,1,3,Grand+Prix,0,3169#Classic_Lotus_Grand_Prix
3,Classic+Lotus+Grand+Prix,3169,virginia+international+raceway,4_Virginia_International_Raceway#Full_Course,2,14,1,4,Full+Course,0,3169#Classic_Lotus_Grand_Prix
4,Classic+Lotus+Grand+Prix,3169,canadian+tire+motorsports+park,5_Canadian_Tire_Motorsports_Park#,144,90,0,5,,0,3169#Classic_Lotus_Grand_Prix
5,Classic+Lotus+Grand+Prix,3169,weathertech+raceway+at+laguna+seca,6_WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,6,Full+Course,1,3169#Classic_Lotus_Grand_Prix
6,Classic+Lotus+Grand+Prix,3169,n%C3%BCrburgring+combined,7_Nürburgring_Combined#Gesamtstrecke_24h,252,186,8,7,Gesamtstrecke+24h,1,3169#Classic_Lotus_Grand_Prix
7,Classic+Lotus+Grand+Prix,3169,circuit+de+spa-francorchamps,8_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,8,Grand+Prix+Pits,4,3169#Classic_Lotus_Grand_Prix
8,Classic+Lotus+Grand+Prix,3169,autodromo+internazionale+enzo+e+dino+ferrari,9_Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,9,Grand+Prix,0,3169#Classic_Lotus_Grand_Prix
9,Classic+Lotus+Grand+Prix,3169,road+america,10_Road_America#Full_Course,18,11,1,10,Full+Course,0,3169#Classic_Lotus_Grand_Prix
10,Classic+Lotus+Grand+Prix,3169,long+beach+street+circuit,11_Long_Beach_Street_Circuit#,179,116,0,11,,1,3169#Classic_Lotus_Grand_Prix
11,Classic+Lotus+Grand+Prix,3169,aut%C3%B3dromo+jos%C3%A9+carlos+pace,12_Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,12,Grand+Prix,4,3169#Classic_Lotus_Grand_Prix
