,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,iRacing+Formula+3.5+Championship,3170,suzuka+international+racing+course,1_Suzuka_International_Racing_Course#Grand_Prix,168,114,0,1,Grand+Prix,1,3170#iRacing_Formula_3.5_Championship
1,iRacing+Formula+3.5+Championship,3170,autodromo+internazionale+enzo+e+dino+ferrari,2_Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,2,Grand+Prix,4,3170#iRacing_Formula_3.5_Championship
2,iRacing+Formula+3.5+Championship,3170,hockenheimring+baden-w%C3%BCrttemberg,3_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,3,Grand+Prix,1,3170#iRacing_Formula_3.5_Championship
3,iRacing+Formula+3.5+Championship,3170,road+america,4_Road_America#Full_Course,18,11,1,4,Full+Course,4,3170#iRacing_Formula_3.5_Championship
4,iRacing+Formula+3.5+Championship,3170,watkins+glen+international,5_Watkins_Glen_International#Classic_Boot,108,56,3,5,Classic+Boot,0,3170#iRacing_Formula_3.5_Championship
5,iRacing+Formula+3.5+Championship,3170,virginia+international+raceway,6_Virginia_International_Raceway#Full_Course,2,14,1,6,Full+Course,4,3170#iRacing_Formula_3.5_Championship
6,iRacing+Formula+3.5+Championship,3170,silverstone+circuit,7_Silverstone_Circuit#Grand_Prix,341,282,1,7,Grand+Prix,4,3170#iRacing_Formula_3.5_Championship
7,iRacing+Formula+3.5+Championship,3170,aut%C3%B3dromo+jos%C3%A9+carlos+pace,8_Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,8,Grand+Prix,4,3170#iRacing_Formula_3.5_Championship
8,iRacing+Formula+3.5+Championship,3170,road+atlanta,9_Road_Atlanta#Full_Course,127,67,1,9,Full+Course,1,3170#iRacing_Formula_3.5_Championship
9,iRacing+Formula+3.5+Championship,3170,autodromo+nazionale+monza,10_Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,10,Grand+Prix,0,3170#iRacing_Formula_3.5_Championship
10,iRacing+Formula+3.5+Championship,3170,circuit+de+spa-francorchamps,11_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,11,Grand+Prix+Pits,9,3170#iRacing_Formula_3.5_Championship
11,iRacing+Formula+3.5+Championship,3170,phillip+island+circuit,12_Phillip_Island_Circuit#,152,93,0,12,,4,3170#iRacing_Formula_3.5_Championship
