,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,iRacing+Grand+Prix+Series,3173,circuit+de+barcelona+catalunya,1_Circuit_de_Barcelona_Catalunya#Grand_Prix,345,292,0,1,Grand+Prix,4,3173#iRacing_Grand_Prix_Series
1,iRacing+Grand+Prix+Series,3173,phillip+island+circuit,2_Phillip_Island_Circuit#,152,93,0,2,,1,3173#iRacing_Grand_Prix_Series
2,iRacing+Grand+Prix+Series,3173,hockenheimring+baden-w%C3%BCrttemberg,3_Hockenheimring_Baden-Württemberg#Grand_Prix,390,350,0,3,Grand+Prix,0,3173#iRacing_Grand_Prix_Series
3,iRacing+Grand+Prix+Series,3173,silverstone+circuit,4_Silverstone_Circuit#Grand_Prix,341,282,1,4,Grand+Prix,0,3173#iRacing_Grand_Prix_Series
4,iRacing+Grand+Prix+Series,3173,circuit+gilles+villeneuve,5_Circuit_Gilles_Villeneuve#,218,145,0,5,,0,3173#iRacing_Grand_Prix_Series
5,iRacing+Grand+Prix+Series,3173,n%C3%BCrburgring+grand-prix-strecke,6_Nürburgring_Grand-Prix-Strecke#Grand_Prix,250,185,3,6,Grand+Prix,4,3173#iRacing_Grand_Prix_Series
6,iRacing+Grand+Prix+Series,3173,circuit+de+spa-francorchamps,7_Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,7,Grand+Prix+Pits,0,3173#iRacing_Grand_Prix_Series
7,iRacing+Grand+Prix+Series,3173,autodromo+nazionale+monza,8_Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,8,Grand+Prix,4,3173#iRacing_Grand_Prix_Series
8,iRacing+Grand+Prix+Series,3173,road+america,9_Road_America#Full_Course,18,11,1,9,Full+Course,0,3173#iRacing_Grand_Prix_Series
9,iRacing+Grand+Prix+Series,3173,suzuka+international+racing+course,10_Suzuka_International_Racing_Course#Grand_Prix,168,114,0,10,Grand+Prix,4,3173#iRacing_Grand_Prix_Series
10,iRacing+Grand+Prix+Series,3173,detroit+grand+prix+at+belle+isle,11_Detroit_Grand_Prix_at_Belle_Isle#Belle_Isle,319,259,0,11,Belle+Isle,0,3173#iRacing_Grand_Prix_Series
11,iRacing+Grand+Prix+Series,3173,aut%C3%B3dromo+jos%C3%A9+carlos+pace,12_Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,12,Grand+Prix,1,3173#iRacing_Grand_Prix_Series
