,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Dallara+Formula+iR,3174,watkins+glen+international,1#Watkins_Glen_International#Classic_Boot,108,56,3,1,Classic+Boot,0,3174#Dallara_Formula_iR
1,Dallara+Formula+iR,3174,hockenheimring+baden-w%C3%BCrttemberg,2#Hockenheimring_Baden-Württemberg#Outer,395,350,0,2,Outer,0,3174#Dallara_Formula_iR
2,Dallara+Formula+iR,3174,circuit+de+spa-francorchamps,3#Circuit_de_Spa-Francorchamps#Grand_Prix_Pits,163,103,2,3,Grand+Prix+Pits,0,3174#Dallara_Formula_iR
3,Dallara+Formula+iR,3174,road+america,4#Road_America#Full_Course,18,11,1,4,Full+Course,0,3174#Dallara_Formula_iR
4,Dallara+Formula+iR,3174,autodromo+nazionale+monza,5#Autodromo_Nazionale_Monza#Grand_Prix,239,172,1,5,Grand+Prix,0,3174#Dallara_Formula_iR
5,Dallara+Formula+iR,3174,circuit+de+barcelona+catalunya,6#Circuit_de_Barcelona_Catalunya#Historic,349,292,4,6,Historic,0,3174#Dallara_Formula_iR
6,Dallara+Formula+iR,3174,aut%C3%B3dromo+jos%C3%A9+carlos+pace,7#Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace#Grand_Prix,212,134,1,7,Grand+Prix,9,3174#Dallara_Formula_iR
7,Dallara+Formula+iR,3174,autodromo+internazionale+enzo+e+dino+ferrari,8#Autodromo_Internazionale_Enzo_e_Dino_Ferrari#Grand_Prix,266,197,0,8,Grand+Prix,0,3174#Dallara_Formula_iR
8,Dallara+Formula+iR,3174,sebring+international+raceway,9#Sebring_International_Raceway#International,95,40,1,9,International,0,3174#Dallara_Formula_iR
9,Dallara+Formula+iR,3174,silverstone+circuit,10#Silverstone_Circuit#Grand_Prix,341,282,1,10,Grand+Prix,0,3174#Dallara_Formula_iR
10,Dallara+Formula+iR,3174,suzuka+international+racing+course,11#Suzuka_International_Racing_Course#Grand_Prix,168,114,0,11,Grand+Prix,0,3174#Dallara_Formula_iR
11,Dallara+Formula+iR,3174,circuit+gilles+villeneuve,12#Circuit_Gilles_Villeneuve#,218,145,0,12,,0,3174#Dallara_Formula_iR
