,seriesname,seasonid,lowername,name,id,pkgid,priority,raceweek,config,timeOfDay,id_name
0,Sim-Lab+Production+Car+Challenge,3201,%5Blegacy%5D+charlotte+motor+speedway+-+2008,1#%5BLegacy%5D_Charlotte_Motor_Speedway_-_2008#Road_Course,37,31,2,1,Road+Course,3,3201#Sim-Lab_Production_Car_Challenge
1,Sim-Lab+Production+Car+Challenge,3201,lime+rock+park,2#Lime_Rock_Park#West_Bend_Chicane,355,304,4,2,West+Bend+Chicane,1,3201#Sim-Lab_Production_Car_Challenge
2,Sim-Lab+Production+Car+Challenge,3201,watkins+glen+international,3#Watkins_Glen_International#Classic_Boot,108,56,3,3,Classic+Boot,0,3201#Sim-Lab_Production_Car_Challenge
3,Sim-Lab+Production+Car+Challenge,3201,road+atlanta,4#Road_Atlanta#Full_Course,127,67,1,4,Full+Course,2,3201#Sim-Lab_Production_Car_Challenge
4,Sim-Lab+Production+Car+Challenge,3201,okayama+international+circuit,5#Okayama_International_Circuit#Full_Course,166,109,0,5,Full+Course,0,3201#Sim-Lab_Production_Car_Challenge
5,Sim-Lab+Production+Car+Challenge,3201,n%C3%BCrburgring+nordschleife,6#Nürburgring_Nordschleife#Industriefahrten,249,184,1,6,Industriefahrten,5,3201#Sim-Lab_Production_Car_Challenge
6,Sim-Lab+Production+Car+Challenge,3201,oran+park+raceway,7#Oran_Park_Raceway#Grand_Prix,202,126,1,7,Grand+Prix,1,3201#Sim-Lab_Production_Car_Challenge
7,Sim-Lab+Production+Car+Challenge,3201,road+america,8#Road_America#Full_Course,18,11,1,8,Full+Course,2,3201#Sim-Lab_Production_Car_Challenge
8,Sim-Lab+Production+Car+Challenge,3201,%5Blegacy%5D+silverstone+circuit+-+2008,9#%5BLegacy%5D_Silverstone_Circuit_-_2008#National,44,32,5,9,National,5,3201#Sim-Lab_Production_Car_Challenge
9,Sim-Lab+Production+Car+Challenge,3201,summit+point+raceway,10#Summit_Point_Raceway#Summit_Point_Raceway,9,13,1,10,Summit+Point+Raceway,2,3201#Sim-Lab_Production_Car_Challenge
10,Sim-Lab+Production+Car+Challenge,3201,weathertech+raceway+at+laguna+seca,11#WeatherTech_Raceway_at_Laguna_Seca#Full_Course,47,34,1,11,Full+Course,0,3201#Sim-Lab_Production_Car_Challenge
11,Sim-Lab+Production+Car+Challenge,3201,watkins+glen+international,12#Watkins_Glen_International#Cup,106,56,1,12,Cup,1,3201#Sim-Lab_Production_Car_Challenge
